source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
"Oh, you gotta keep those feet moving quickly.",足を早く動かして！,Time: 0:01:07.465000,,0:01:07.465000,0:01:09.274000,0:01:07.465000,0:01:09.274000
"I feel so much better. I know this is tiring, but this is what Fire it up is all about. Ready? Last bit of shade. We're almost there.",疲れるけど！これが気合を入れる時間だよ！最後の日かげだ！もう少し！,Time: 0:01:09.820000,,0:01:09.820000,0:01:18.097000,0:01:09.820000,0:01:18.097000
We can have a nice jump in the ocean. All the way.,終わったら、海にジャンプしよう！,Time: 0:01:18.250000,,0:01:18.250000,0:01:21.151000,0:01:18.250000,0:01:21.151000
Let's go.,レッツゴー！,Time: 0:01:21.476000,,0:01:21.476000,0:01:22.448000,0:01:21.476000,0:01:22.448000
And fast speed on the last one.,ラストスパート！,Time: 0:01:22.721000,,0:01:22.721000,0:01:24.257000,0:01:22.721000,0:01:24.257000
"Wow, we made it,",やりきったね！,Time: 0:01:25.548000,,0:01:25.548000,0:01:27.175000,0:01:25.548000,0:01:27.175000
"and by the looks of things, we still have our feet.",みんな、まだ足は無事だね！,Time: 0:01:28.336000,,0:01:28.336000,0:01:30.526000,0:01:28.336000,0:01:30.526000
"Hee hee, I've still got mine.",へへ、ぼくの足も無事。,Time: 0:01:30.995000,,0:01:30.995000,0:01:32.967000,0:01:30.995000,0:01:32.967000
"We're definitely gonna need to have a cool off swim after all that hot sand. To do that, we're gonna stand side on and jump over the waves like this as they come. And then we're gonna switch and do the same thing on the other side. Ready? Let's go for that swim.",あつい砂の上にいた後は、冷たい海で泳がなきゃね！まず横向きになって、来る波をジャンプで飛び越えよう！そして、反対側も同じようにやるよ！準備はいい？泳ぎに行こう！,Time: 0:01:33.438000,,0:01:33.438000,0:01:47.534000,0:01:33.438000,0:01:47.534000
Excellent.,よし、,Time: 0:01:48.540000,,0:01:48.540000,0:01:49.291000,0:01:48.540000,0:01:49.291000
Here comes a big one.,来たよ！,Time: 0:01:49.854000,,0:01:49.854000,0:01:50.530000,0:01:49.854000,0:01:50.530000
All the way up!,ジャンプ！,Time: 0:01:51.340000,,0:01:51.340000,0:01:52.055000,0:01:51.340000,0:01:52.055000
"Excellent, guys. You gotta keep both knees as high as you can.",いい調子だよ！両ひざをできるだけ高く上げよう！,Time: 0:01:52.340000,,0:01:52.340000,0:01:55.575000,0:01:52.340000,0:01:55.575000
Here we go.,頑張って,Time: 0:01:55.912000,,0:01:55.912000,0:01:56.629000,0:01:55.912000,0:01:56.629000
Switch to the other side.,反対向きも！,Time: 0:01:56.953000,,0:01:56.953000,0:01:57.994000,0:01:56.953000,0:01:57.994000
