source,target,context,tags,eng_start,eng_end,jpn_start,jpn_end
Now it's time to focus it. Electrify that brain.,頭のひらめき！スイッチ～、オン！,Time: 0:03:38.730000,,0:03:38.730000,0:03:42.275000,0:03:38.730000,0:03:42.275000
Purple squid is in the house.,むらさきイカが応援に来たよ！,Time: 0:03:43.950000,,0:03:43.950000,0:03:46.049000,0:03:43.950000,0:03:46.049000
"All that swimming was so much fun. Now, let's paddle back to shore. To do that, we're going to lunge one foot forward and keep the other one behind. Hold on to your paddle. I'm going to row from side to side. Ready? Let's go.",沢山泳いでとても楽しかったね。きしまではひざまずきながら、パドルを漕いで戻っていくよ。パドルを右、ひだり交互にこごう。準備はいい？行ってみよう！,Time: 0:03:46.783000,,0:03:46.783000,0:03:59.991000,0:03:46.783000,0:03:59.991000
"All right, now we're in focus it.",よし、集中しよう！,Time: 0:04:00.571000,,0:04:00.571000,0:04:02.875000,0:04:00.571000,0:04:02.875000
So we've really got to balance on that front leg.,前の足でしっかりバランスを取ってね！,Time: 0:04:03.300000,,0:04:03.300000,0:04:05.995000,0:04:03.300000,0:04:05.995000
And remember to keep your core tight because we don't want to fall into the water.,水に落ちないように体幹にしっかり力を入れてね！！,Time: 0:04:06.815000,,0:04:06.815000,0:04:10.325000,0:04:06.815000,0:04:10.325000
"We just did all that swimming. Now we want to paddle. We're also using two sides of that brain, so we've got to go from left to right each time.",たくさん泳いだ後は、今度はパドルを使うよ！左右の脳を使うために左から右に交互に漕ごう！,Time: 0:04:10.375000,,0:04:10.375000,0:04:19.529000,0:04:10.375000,0:04:19.529000
"You guys are doing amazing. Each time in focus it,",みんな、すごい頑張ってるね！,Time: 0:04:19.820000,,0:04:19.820000,0:04:22.773000,0:04:19.820000,0:04:22.773000
we work so well as a team.,素敵なチームプレイだね,Time: 0:04:23.029000,,0:04:23.029000,0:04:24.564000,0:04:23.029000,0:04:24.564000
"Wow, we're really starting to catch the speed.",ドンドンスピードが出てきたね！！,Time: 0:04:25.725000,,0:04:25.725000,0:04:28.032000,0:04:25.725000,0:04:28.032000
"Whoa, we're even riding a wave.",なみにも乗ってるよ！凄い！,Time: 0:04:28.610000,,0:04:28.610000,0:04:30.588000,0:04:28.610000,0:04:30.588000
"Well done, guys. Keep up that paddling.",みんな、よく頑張ってるね,Time: 0:04:31.325000,,0:04:31.325000,0:04:33.560000,0:04:31.325000,0:04:33.560000
"We're almost back to shore. You've got this, guys. From one side to the other.",もうすぐきしにつくよ！頑張って！ 左から右に交互に漕いで。,Time: 0:04:34.110000,,0:04:34.110000,0:04:40.077000,0:04:34.110000,0:04:40.077000
Two more!,もう少し！,Time: 0:04:40.127000,,0:04:40.127000,0:04:40.915000,0:04:40.127000,0:04:40.915000
And... Time!,よし！,Time: 0:04:41.280000,,0:04:41.280000,0:04:41.981000,0:04:41.280000,0:04:41.981000
Well done! We made it! back to shore safe and sound.,とうちゃく！無事にきしについて良かった！,Time: 0:04:43.689000,,0:04:43.689000,0:04:46.580000,0:04:43.689000,0:04:46.580000
Let's clean up this beach.,このビーチをきれいにするぞ！,Time: 0:04:47.190000,,0:04:47.190000,0:04:49.235000,0:04:47.190000,0:04:49.235000
"Oh, no. There's so much plastic on the beach.",ペットボトルでビーチが汚れてる！,Time: 0:04:50.145000,,0:04:50.145000,0:04:52.620000,0:04:50.145000,0:04:52.620000
Let's do our bit and get cleaning.,みんなで掃除しよう！,Time: 0:04:52.670000,,0:04:52.670000,0:04:54.680000,0:04:52.670000,0:04:54.680000
